indicator,County,Year,subgroup1,subgroup_cat1,subgroup2,subgroup_cat2,aaRate10K,count,cRate10K,dailyMean
"ED Visits	",Tompkins,2005-2007,"Total	","	","Total	","	",29.876,801,26.79,0.732
"ED Visits	",Tompkins,2005-2016,"Total	","	","Total	","	",27.289,2906,23.701,0.663
"ED Visits	",Tompkins,2006-2008,"Total	","	","Total	","	",32.062,852,28.405,0.777
"ED Visits	",Tompkins,2007-2009,"Total	","	","Total	","	",32.389,876,29.027,0.799
"ED Visits	",Tompkins,2008-2010,"Total	","	","Total	","	",30.685,846,27.861,0.772
"ED Visits	",Tompkins,2009-2011,"Total	","	","Total	","	",27.948,764,25.018,0.698
"ED Visits	",Tompkins,2010-2012,"Total	","	","Total	","	",25.604,678,22.083,0.619
"ED Visits	",Tompkins,2011-2013,"Total	","	","Total	","	",26.782,689,22.261,0.629
"ED Visits	",Tompkins,2012-2014,"Total	","	","Total	","	",27.329,693,22.218,0.632
"ED Visits	",Tompkins,2013-2015,"Total	","	","Total	","	",26.283,670,21.383,0.612
"ED Visits	",Tompkins,2014-2016,"Total	","	","Total	","	",21.865,570,18.157,0.52
"ED Visits	",Ulster,2005-2007,"Total	","	","Total	","	",56.645,2915,53.184,2.662
"ED Visits	",Ulster,2005-2016,"Total	","	","Total	","	",52.64,10575,48.476,2.413
"ED Visits	",Ulster,2006-2008,"Total	","	","Total	","	",54.851,2834,51.636,2.586
"ED Visits	",Ulster,2007-2009,"Total	","	","Total	","	",51.99,2678,48.812,2.443
"ED Visits	",Ulster,2008-2010,"Total	","	","Total	","	",49.443,2540,46.332,2.318
"ED Visits	",Ulster,2009-2011,"Total	","	","Total	","	",49.219,2505,45.737,2.288
"ED Visits	",Ulster,2010-2012,"Total	","	","Total	","	",49.734,2528,46.227,2.307
"ED Visits	",Ulster,2011-2013,"Total	","	","Total	","	",51.347,2576,47.227,2.35
"ED Visits	",Ulster,2012-2014,"Total	","	","Total	","	",52.018,2576,47.398,2.35
"ED Visits	",Ulster,2013-2015,"Total	","	","Total	","	",52.644,2557,47.221,2.335
"ED Visits	",Ulster,2014-2016,"Total	","	","Total	","	",53.352,2544,47.135,2.321
"ED Visits	",Warren,2005-2007,"Total	","	","Total	","	",55.113,1021,51.959,0.932
"ED Visits	",Warren,2005-2016,"Total	","	","Total	","	",51.351,3661,46.698,0.835
"ED Visits	",Warren,2006-2008,"Total	","	","Total	","	",58.367,1083,54.935,0.988
"ED Visits	",Warren,2007-2009,"Total	","	","Total	","	",60.49,1100,55.758,1.004
"ED Visits	",Warren,2008-2010,"Total	","	","Total	","	",63.292,1142,57.905,1.042
"ED Visits	",Warren,2009-2011,"Total	","	","Total	","	",61.27,1093,55.464,0.998
"ED Visits	",Warren,2010-2012,"Total	","	","Total	","	",55.78,992,50.409,0.905
"ED Visits	",Warren,2011-2013,"Total	","	","Total	","	",48.394,861,43.871,0.786
"ED Visits	",Warren,2012-2014,"Total	","	","Total	","	",45.278,794,40.625,0.724
"ED Visits	",Warren,2013-2015,"Total	","	","Total	","	",41.826,728,37.416,0.665
"ED Visits	",Warren,2014-2016,"Total	","	","Total	","	",37.287,637,32.836,0.581
"ED Visits	",Washington,2005-2007,"Total	","	","Total	","	",39.58,702,37.282,0.641
"ED Visits	",Washington,2005-2016,"Total	","	","Total	","	",40.639,2937,38.984,0.67
"ED Visits	",Washington,2006-2008,"Total	","	","Total	","	",42.86,778,41.147,0.71
"ED Visits	",Washington,2007-2009,"Total	","	","Total	","	",45.676,840,44.355,0.766
"ED Visits	",Washington,2008-2010,"Total	","	","Total	","	",48.745,904,47.667,0.825
"ED Visits	",Washington,2009-2011,"Total	","	","Total	","	",44.981,829,43.744,0.757
"ED Visits	",Washington,2010-2012,"Total	","	","Total	","	",42.993,790,41.689,0.721
"ED Visits	",Washington,2011-2013,"Total	","	","Total	","	",38.572,711,37.628,0.649
"ED Visits	",Washington,2012-2014,"Total	","	","Total	","	",37.24,670,35.584,0.611
"ED Visits	",Washington,2013-2015,"Total	","	","Total	","	",35.665,641,34.195,0.585
"ED Visits	",Washington,2014-2016,"Total	","	","Total	","	",34.898,620,33.248,0.566
"ED Visits	",Wayne,2005-2007,"Total	","	","Total	","	",46.656,1230,43.794,1.123
"ED Visits	",Wayne,2005-2016,"Total	","	","Total	","	",44.46,4550,40.821,1.038
"ED Visits	",Wayne,2006-2008,"Total	","	","Total	","	",46.405,1218,43.365,1.111
"ED Visits	",Wayne,2007-2009,"Total	","	","Total	","	",50.112,1302,46.348,1.188
"ED Visits	",Wayne,2008-2010,"Total	","	","Total	","	",49.968,1290,45.885,1.177
"ED Visits	",Wayne,2009-2011,"Total	","	","Total	","	",50.617,1296,46.177,1.184
"ED Visits	",Wayne,2010-2012,"Total	","	","Total	","	",45.823,1169,41.746,1.067
"ED Visits	",Wayne,2011-2013,"Total	","	","Total	","	",43.968,1110,39.833,1.013
"ED Visits	",Wayne,2012-2014,"Total	","	","Total	","	",41.231,1040,37.513,0.949
"ED Visits	",Wayne,2013-2015,"Total	","	","Total	","	",37.796,952,34.548,0.869
"ED Visits	",Wayne,2014-2016,"Total	","	","Total	","	",36.912,920,33.581,0.839
"ED Visits	",Westchester,2005-2007,"Total	","	","Total	","	",65.407,17721,63.329,16.184
"ED Visits	",Westchester,2005-2016,"Total	","	","Total	","	",69.926,76791,67.162,17.52
"ED Visits	",Westchester,2006-2008,"Total	","	","Total	","	",68.19,18490,65.982,16.87
"ED Visits	",Westchester,2007-2009,"Total	","	","Total	","	",69.899,18994,67.473,17.33
"ED Visits	",Westchester,2008-2010,"Total	","	","Total	","	",71.656,19561,69.066,17.848
"ED Visits	",Westchester,2009-2011,"Total	","	","Total	","	",71.856,19740,69.218,18.027
"ED Visits	",Westchester,2010-2012,"Total	","	","Total	","	",72.146,19945,69.526,18.198
"ED Visits	",Westchester,2011-2013,"Total	","	","Total	","	",72.699,20164,69.88,18.398
"ED Visits	",Westchester,2012-2014,"Total	","	","Total	","	",73.292,20345,70.187,18.563
"ED Visits	",Westchester,2013-2015,"Total	","	","Total	","	",71.996,20000,68.716,18.265
"ED Visits	",Westchester,2014-2016,"Total	","	","Total	","	",70.006,19345,66.302,17.651
"ED Visits	",Wyoming,2005-2007,"Total	","	","Total	","	",42.242,514,40.166,0.469
"ED Visits	",Wyoming,2005-2016,"Total	","	","Total	","	",34.219,1633,32.483,0.373
"ED Visits	",Wyoming,2006-2008,"Total	","	","Total	","	",39.609,490,38.441,0.447
"ED Visits	",Wyoming,2007-2009,"Total	","	","Total	","	",38.644,475,37.392,0.433
"ED Visits	",Wyoming,2008-2010,"Total	","	","Total	","	",38.478,467,36.878,0.426
"ED Visits	",Wyoming,2009-2011,"Total	","	","Total	","	",34.882,419,33.179,0.383
"ED Visits	",Wyoming,2010-2012,"Total	","	","Total	","	",33.533,406,32.269,0.37
"ED Visits	",Wyoming,2011-2013,"Total	","	","Total	","	",30.224,368,29.409,0.336
"ED Visits	",Wyoming,2012-2014,"Total	","	","Total	","	",29.734,355,28.537,0.324
"ED Visits	",Wyoming,2013-2015,"Total	","	","Total	","	",27.017,316,25.559,0.289
"ED Visits	",Wyoming,2014-2016,"Total	","	","Total	","	",25.288,284,23.09,0.259
"ED Visits	",Yates,2005-2007,"Total	","	","Total	","	",51.753,367,48.681,0.335
"ED Visits	",Yates,2005-2016,"Total	","	","Total	","	",39.987,1108,36.651,0.253
"ED Visits	",Yates,2006-2008,"Total	","	","Total	","	",48.087,347,45.893,0.317
"ED Visits	",Yates,2007-2009,"Total	","	","Total	","	",53.799,368,48.492,0.336
"ED Visits	",Yates,2008-2010,"Total	","	","Total	","	",52.195,354,46.576,0.323
"ED Visits	",Yates,2009-2011,"Total	","	","Total	","	",49.954,333,43.793,0.304
"ED Visits	",Yates,2010-2012,"Total	","	","Total	","	",36.804,253,33.286,0.231
"ED Visits	",Yates,2011-2013,"Total	","	","Total	","	",31.497,220,29.019,0.201
"ED Visits	",Yates,2012-2014,"Total	","	","Total	","	",27.121,189,25.015,0.172
"ED Visits	",Yates,2013-2015,"Total	","	","Total	","	",25.187,177,23.495,0.162
"ED Visits	",Yates,2014-2016,"Total	","	","Total	","	",23.919,167,22.236,0.152
"ED Visits	",NYS excluding NYC,"2005	","Total	","	","Total	","	",55.995,59845,53.821,163.959
"ED Visits	",NYS excluding NYC,2005-2007,"Total	","	","Total	","	",55.905,178526,53.533,163.037
"ED Visits	",NYS excluding NYC,2005-2016,"Total	","	","Total	","	",55.991,710824,52.931,162.178
"ED Visits	",NYS excluding NYC,"2006	","Total	","	","Total	","	",56.498,60044,54.041,164.504
"ED Visits	",NYS excluding NYC,2006-2008,"Total	","	","Total	","	",56.242,179303,53.726,163.598
"ED Visits	",NYS excluding NYC,"2007	","Total	","	","Total	","	",55.225,58637,52.738,160.649
"ED Visits	",NYS excluding NYC,2007-2009,"Total	","	","Total	","	",58.085,184956,55.313,168.755
"ED Visits	",NYS excluding NYC,"2008	","Total	","	","Total	","	",56.993,60622,54.398,165.634
"ED Visits	",NYS excluding NYC,2008-2010,"Total	","	","Total	","	",58.602,186635,55.662,170.287
"ED Visits	",NYS excluding NYC,"2009	","Total	","	","Total	","	",62.057,65697,58.787,179.992
"ED Visits	",NYS excluding NYC,2009-2011,"Total	","	","Total	","	",58.9,187628,55.806,171.35
"ED Visits	",NYS excluding NYC,"2010	","Total	","	","Total	","	",56.768,60316,53.803,165.249
"ED Visits	",NYS excluding NYC,2010-2012,"Total	","	","Total	","	",57.948,184641,54.81,168.468
"ED Visits	",NYS excluding NYC,"2011	","Total	","	","Total	","	",57.864,61615,54.84,168.808
"ED Visits	",NYS excluding NYC,2011-2013,"Total	","	","Total	","	",57.275,182244,54.033,166.281
"ED Visits	",NYS excluding NYC,"2012	","Total	","	","Total	","	",59.215,62710,55.784,171.339
"ED Visits	",NYS excluding NYC,2012-2014,"Total	","	","Total	","	",56.806,180027,53.358,164.258
"ED Visits	",NYS excluding NYC,"2013	","Total	","	","Total	","	",54.729,57919,51.479,158.682
"ED Visits	",NYS excluding NYC,2013-2015,"Total	","	","Total	","	",54.71,172876,51.255,157.878
"ED Visits	",NYS excluding NYC,"2014	","Total	","	","Total	","	",56.486,59398,52.815,162.734
"ED Visits	",NYS excluding NYC,2014-2016,"Total	","	","Total	","	",52.241,163419,48.514,149.105
"ED Visits	",NYS excluding NYC,"2015	","Total	","	","Total	","	",52.911,55559,49.471,152.216
"ED Visits	",NYS excluding NYC,"2016	","Total	","	","Total	","	",47.295,48462,43.24,132.41
"ED Visits	",New York City,"2005	","Total	","	","Total	","	",138.11,106734,133.195,292.422
"ED Visits	",New York City,2005-2007,"Total	","	","Total	","	",142.377,328509,136.759,300.008
"ED Visits	",New York City,2005-2016,"Total	","	","Total	","	",145.49,1381871,139.573,315.28
"ED Visits	",New York City,"2006	","Total	","	","Total	","	",144.918,111080,138.956,304.329
"ED Visits	",New York City,2006-2008,"Total	","	","Total	","	",144.455,333712,138.608,304.482
"ED Visits	",New York City,"2007	","Total	","	","Total	","	",144.112,110695,138.131,303.274
"ED Visits	",New York City,2007-2009,"Total	","	","Total	","	",144.938,336824,139.106,307.321
"ED Visits	",New York City,"2008	","Total	","	","Total	","	",144.285,111937,138.739,305.839
"ED Visits	",New York City,2008-2010,"Total	","	","Total	","	",145.096,339688,139.263,309.934
"ED Visits	",New York City,"2009	","Total	","	","Total	","	",146.386,114192,140.43,312.855
"ED Visits	",New York City,2009-2011,"Total	","	","Total	","	",146.204,344959,140.183,315.031
"ED Visits	",New York City,"2010	","Total	","	","Total	","	",144.593,113559,138.621,311.121
"ED Visits	",New York City,2010-2012,"Total	","	","Total	","	",149.457,356126,143.384,324.932
"ED Visits	",New York City,"2011	","Total	","	","Total	","	",147.626,117208,141.486,321.118
"ED Visits	",New York City,2011-2013,"Total	","	","Total	","	",151.862,365276,145.716,333.281
"ED Visits	",New York City,"2012	","Total	","	","Total	","	",156.139,125359,149.93,342.511
"ED Visits	",New York City,2012-2014,"Total	","	","Total	","	",152.584,369877,146.453,337.479
"ED Visits	",New York City,"2013	","Total	","	","Total	","	",151.8,122709,145.693,336.189
"ED Visits	",New York City,2013-2015,"Total	","	","Total	","	",148.413,361979,142.45,330.574
"ED Visits	",New York City,"2014	","Total	","	","Total	","	",149.824,121809,143.778,333.723
"ED Visits	",New York City,2014-2016,"Total	","	","Total	","	",142.421,348398,136.487,317.881
"ED Visits	",New York City,"2015	","Total	","	","Total	","	",143.648,117461,137.922,321.811
"ED Visits	",New York City,"2016	","Total	","	","Total	","	",133.874,109128,127.819,298.164
"ED Visits	",New York State,"2005	","AgeGroup	","0-4	","Total	","	",.,27124,229.719,74.312
"ED Visits	",New York State,"2005	","AgeGroup	",15-19,"Total	","	",.,10878,79.713,29.803
"ED Visits	",New York State,"2005	","AgeGroup	",20-24,"Total	","	",.,11338,86.083,31.063
"ED Visits	",New York State,"2005	","AgeGroup	",25-64,"Total	","	",.,75303,73.336,206.31
"ED Visits	",New York State,"2005	","AgeGroup	","5-14	","Total	","	",.,31442,125.38,86.142
"ED Visits	",New York State,"2005	","AgeGroup	","65+	","Total	","	",.,10494,42.075,28.751
"ED Visits	",New York State,"2005	","Month	","01	","Total	","	",.,16043,98.728,517.516
"ED Visits	",New York State,"2005	","Month	","02	","Total	","	",.,13235,90.175,472.679
"ED Visits	",New York State,"2005	","Month	","03	","Total	","	",.,13432,82.66,433.29
"ED Visits	",New York State,"2005	","Month	","04	","Total	","	",.,13729,87.304,457.633
"ED Visits	",New York State,"2005	","Month	","05	","Total	","	",.,19019,117.043,613.516
"ED Visits	",New York State,"2005	","Month	","06	","Total	","	",.,11883,75.565,396.1
"ED Visits	",New York State,"2005	","Month	","07	","Total	","	",.,8951,55.084,288.742
"ED Visits	",New York State,"2005	","Month	","08	","Total	","	",.,9050,55.694,291.935
"ED Visits	",New York State,"2005	","Month	","09	","Total	","	",.,12343,78.491,411.433
"ED Visits	",New York State,"2005	","Month	","10	","Total	","	",.,16792,103.338,541.677
"ED Visits	",New York State,"2005	","Month	","11	","Total	","	",.,17081,108.62,569.367
"ED Visits	",New York State,"2005	","Month	","12	","Total	","	",.,15021,92.439,484.548
"ED Visits	",New York State,"2005	","Total	","	","Total	","	",89.776,166579,87.065,456.381
"ED Visits	",New York State,2005-2007,"AgeGroup	","0-4	","Gender	","F	",.,30151,176.369,27.535
"ED Visits	",New York State,2005-2007,"AgeGroup	","0-4	","Gender	","M	",.,52691,294.491,48.12
"ED Visits	",New York State,2005-2007,"AgeGroup	","0-4	","Total	","	",.,82847,236.789,75.659
"ED Visits	",New York State,2005-2007,"AgeGroup	",15-19,"Gender	","F	",.,19256,95.635,17.585
"ED Visits	",New York State,2005-2007,"AgeGroup	",15-19,"Gender	","M	",.,14189,66.998,12.958
"ED Visits	",New York State,2005-2007,"AgeGroup	",15-19,"Total	","	",.,33445,80.954,30.543
"ED Visits	",New York State,2005-2007,"AgeGroup	",20-24,"Gender	","F	",.,20898,106.074,19.085
"ED Visits	",New York State,2005-2007,"AgeGroup	",20-24,"Gender	","M	",.,13663,67.774,12.478
"ED Visits	",New York State,2005-2007,"AgeGroup	",20-24,"Total	","	",.,34563,86.709,31.564
"ED Visits	",New York State,2005-2007,"AgeGroup	",25-64,"Gender	","F	",.,142802,89.854,130.413
"ED Visits	",New York State,2005-2007,"AgeGroup	",25-64,"Gender	","M	",.,85521,57.142,78.101
"ED Visits	",New York State,2005-2007,"AgeGroup	",25-64,"Total	","	",.,228329,73.991,208.52
"ED Visits	",New York State,2005-2007,"AgeGroup	","5-14	","Gender	","F	",.,36770,101.766,33.58
"ED Visits	",New York State,2005-2007,"AgeGroup	","5-14	","Gender	","M	",.,58720,155.456,53.626
"ED Visits	",New York State,2005-2007,"AgeGroup	","5-14	","Total	","	",.,95491,129.208,87.206
"ED Visits	",New York State,2005-2007,"AgeGroup	","65+	","Gender	","F	",.,22077,49.708,20.162
"ED Visits	",New York State,2005-2007,"AgeGroup	","65+	","Gender	","M	",.,10282,33.573,9.39
"ED Visits	",New York State,2005-2007,"AgeGroup	","65+	","Total	","	",.,32360,43.124,29.553
"ED Visits	",New York State,2005-2007,"Month	","01	","Total	","	",.,45320,93.012,487.312
"ED Visits	",New York State,2005-2007,"Month	","02	","Total	","	",.,39322,89.349,468.119
"ED Visits	",New York State,2005-2007,"Month	","03	","Total	","	",.,42293,86.8,454.763
"ED Visits	",New York State,2005-2007,"Month	","04	","Total	","	",.,40699,86.313,452.211
"ED Visits	",New York State,2005-2007,"Month	","05	","Total	","	",.,56015,114.962,602.312
"ED Visits	",New York State,2005-2007,"Month	","06	","Total	","	",.,34265,72.668,380.722
"ED Visits	",New York State,2005-2007,"Month	","07	","Total	","	",.,27195,55.813,292.419
"ED Visits	",New York State,2005-2007,"Month	","08	","Total	","	",.,27884,57.227,299.828
"ED Visits	",New York State,2005-2007,"Month	","09	","Total	","	",.,42799,90.766,475.544
"ED Visits	",New York State,2005-2007,"Month	","10	","Total	","	",.,51632,105.966,555.183
"ED Visits	",New York State,2005-2007,"Month	","11	","Total	","	",.,51845,109.95,576.056
"ED Visits	",New York State,2005-2007,"Month	","12	","Total	","	",.,47766,98.032,513.613
"ED Visits	",New York State,2005-2007,"Total	","	","Total	","	",91.467,507035,88.38,463.046
"ED Visits	",New York State,2005-2016,"AgeGroup	","0-4	","Gender	","F	",.,117064,171.07,26.709
"ED Visits	",New York State,2005-2016,"AgeGroup	","0-4	","Gender	","M	",.,206453,288.356,47.103
"ED Visits	",New York State,2005-2016,"AgeGroup	","0-4	","Total	","	",.,323523,231.043,73.813
"ED Visits	",New York State,2005-2016,"AgeGroup	",15-19,"Gender	","F	",.,73505,94.305,16.77
"ED Visits	",New York State,2005-2016,"AgeGroup	",15-19,"Gender	","M	",.,53126,65.196,12.121
"ED Visits	",New York State,2005-2016,"AgeGroup	",15-19,"Total	","	",.,126631,79.427,28.891
"ED Visits	",New York State,2005-2016,"AgeGroup	",20-24,"Gender	","F	",.,90306,108.795,20.604
"ED Visits	",New York State,2005-2016,"AgeGroup	",20-24,"Gender	","M	",.,61498,72.788,14.031
"ED Visits	",New York State,2005-2016,"AgeGroup	",20-24,"Total	","	",.,151806,90.633,34.635
"ED Visits	",New York State,2005-2016,"AgeGroup	",25-64,"Gender	","F	",.,590550,91.513,134.736
"ED Visits	",New York State,2005-2016,"AgeGroup	",25-64,"Gender	","M	",.,361143,59.059,82.396
"ED Visits	",New York State,2005-2016,"AgeGroup	",25-64,"Total	","	",.,951706,75.724,217.136
"ED Visits	",New York State,2005-2016,"AgeGroup	","5-14	","Gender	","F	",.,154202,110.662,35.182
"ED Visits	",New York State,2005-2016,"AgeGroup	","5-14	","Gender	","M	",.,236687,162.541,54.001
"ED Visits	",New York State,2005-2016,"AgeGroup	","5-14	","Total	","	",.,390891,137.173,89.183
"ED Visits	",New York State,2005-2016,"AgeGroup	","65+	","Gender	","F	",.,103317,54.652,23.572
"ED Visits	",New York State,2005-2016,"AgeGroup	","65+	","Gender	","M	",.,44820,33.147,10.226
"ED Visits	",New York State,2005-2016,"AgeGroup	","65+	","Total	","	",.,148138,45.685,33.798
"ED Visits	",New York State,2005-2016,"Month	","01	","Total	","	",.,183597,92.722,493.54
"ED Visits	",New York State,2005-2016,"Month	","02	","Total	","	",.,162397,89.999,479.047
"ED Visits	",New York State,2005-2016,"Month	","03	","Total	","	",.,180364,91.089,484.849
"ED Visits	",New York State,2005-2016,"Month	","04	","Total	","	",.,175710,91.697,488.083
"ED Visits	",New York State,2005-2016,"Month	","05	","Total	","	",.,213479,107.813,573.868
"ED Visits	",New York State,2005-2016,"Month	","06	","Total	","	",.,141773,73.986,393.814
"ED Visits	",New York State,2005-2016,"Month	","07	","Total	","	",.,115163,58.161,309.578
"ED Visits	",New York State,2005-2016,"Month	","08	","Total	","	",.,121339,61.28,326.18
"ED Visits	",New York State,2005-2016,"Month	","09	","Total	","	",.,188108,98.167,522.522
"ED Visits	",New York State,2005-2016,"Month	","10	","Total	","	",.,211528,106.828,568.624
"ED Visits	",New York State,2005-2016,"Month	","11	","Total	","	",.,199804,104.27,555.011
"ED Visits	",New York State,2005-2016,"Month	","12	","Total	","	",.,199433,100.719,536.11
"ED Visits	",New York State,2005-2016,"Total	","	","Total	","	",93.48,2092695,89.7,477.457
"ED Visits	",New York State,"2006	","AgeGroup	","0-4	","Total	","	",.,28402,244.635,77.814
"ED Visits	",New York State,"2006	","AgeGroup	",15-19,"Total	","	",.,11370,82.457,31.151
"ED Visits	",New York State,"2006	","AgeGroup	",20-24,"Total	","	",.,11362,85.759,31.129
"ED Visits	",New York State,"2006	","AgeGroup	",25-64,"Total	","	",.,76390,74.269,209.288
"ED Visits	",New York State,"2006	","AgeGroup	","5-14	","Total	","	",.,32736,132.964,89.688
"ED Visits	",New York State,"2006	","AgeGroup	","65+	","Total	","	",.,10864,43.592,29.764
"ED Visits	",New York State,"2006	","Month	","01	","Total	","	",.,13872,85.493,447.484
"ED Visits	",New York State,"2006	","Month	","02	","Total	","	",.,13119,89.515,468.536
"ED Visits	",New York State,"2006	","Month	","03	","Total	","	",.,14743,90.861,475.581
"ED Visits	",New York State,"2006	","Month	","04	","Total	","	",.,14174,90.266,472.467
"ED Visits	",New York State,"2006	","Month	","05	","Total	","	",.,19781,121.91,638.097
"ED Visits	",New York State,"2006	","Month	","06	","Total	","	",.,11355,72.314,378.5
"ED Visits	",New York State,"2006	","Month	","07	","Total	","	",.,9256,57.045,298.581
"ED Visits	",New York State,"2006	","Month	","08	","Total	","	",.,8840,54.481,285.161
"ED Visits	",New York State,"2006	","Month	","09	","Total	","	",.,15606,99.386,520.2
"ED Visits	",New York State,"2006	","Month	","10	","Total	","	",.,17175,105.85,554.032
"ED Visits	",New York State,"2006	","Month	","11	","Total	","	",.,16593,105.671,553.1
"ED Visits	",New York State,"2006	","Month	","12	","Total	","	",.,16610,102.368,535.806
"ED Visits	",New York State,"2006	","Total	","	","Total	","	",92.835,171124,89.572,468.833
"ED Visits	",New York State,2006-2008,"AgeGroup	","0-4	","Gender	","F	",.,30189,177.652,27.545
"ED Visits	",New York State,2006-2008,"AgeGroup	","0-4	","Gender	","M	",.,52739,296.633,48.12
"ED Visits	",New York State,2006-2008,"AgeGroup	","0-4	","Total	","	",.,82929,238.49,75.665
"ED Visits	",New York State,2006-2008,"AgeGroup	",15-19,"Gender	","F	",.,19216,94.843,17.533
"ED Visits	",New York State,2006-2008,"AgeGroup	",15-19,"Gender	","M	",.,13991,65.648,12.766
"ED Visits	",New York State,2006-2008,"AgeGroup	",15-19,"Total	","	",.,33207,79.877,30.298
"ED Visits	",New York State,2006-2008,"AgeGroup	",20-24,"Gender	","F	",.,21422,107.385,19.546
"ED Visits	",New York State,2006-2008,"AgeGroup	",20-24,"Gender	","M	",.,14004,68.729,12.777
"ED Visits	",New York State,2006-2008,"AgeGroup	",20-24,"Total	","	",.,35428,87.857,32.325
"ED Visits	",New York State,2006-2008,"AgeGroup	",25-64,"Gender	","F	",.,146057,91.721,133.264
"ED Visits	",New York State,2006-2008,"AgeGroup	",25-64,"Gender	","M	",.,87269,58.138,79.625
"ED Visits	",New York State,2006-2008,"AgeGroup	",25-64,"Total	","	",.,233332,75.427,212.894
"ED Visits	",New York State,2006-2008,"AgeGroup	","5-14	","Gender	","F	",.,36246,101.828,33.071
"ED Visits	",New York State,2006-2008,"AgeGroup	","5-14	","Gender	","M	",.,57581,154.833,52.537
"ED Visits	",New York State,2006-2008,"AgeGroup	","5-14	","Total	","	",.,93827,128.91,85.609
"ED Visits	",New York State,2006-2008,"AgeGroup	","65+	","Gender	","F	",.,23537,52.682,21.475
"ED Visits	",New York State,2006-2008,"AgeGroup	","65+	","Gender	","M	",.,10755,34.679,9.813
"ED Visits	",New York State,2006-2008,"AgeGroup	","65+	","Total	","	",.,34292,45.306,31.288
"ED Visits	",New York State,2006-2008,"Month	","01	","Total	","	",.,44539,91.366,478.914
"ED Visits	",New York State,2006-2008,"Month	","02	","Total	","	",.,41735,93.671,491
"ED Visits	",New York State,2006-2008,"Month	","03	","Total	","	",.,43618,89.476,469.011
"ED Visits	",New York State,2006-2008,"Month	","04	","Total	","	",.,40371,85.576,448.567
"ED Visits	",New York State,2006-2008,"Month	","05	","Total	","	",.,54997,112.819,591.366
"ED Visits	",New York State,2006-2008,"Month	","06	","Total	","	",.,33919,71.899,376.878
"ED Visits	",New York State,2006-2008,"Month	","07	","Total	","	",.,27236,55.871,292.86
"ED Visits	",New York State,2006-2008,"Month	","08	","Total	","	",.,28577,58.622,307.28
"ED Visits	",New York State,2006-2008,"Month	","09	","Total	","	",.,45893,97.281,509.922
"ED Visits	",New York State,2006-2008,"Month	","10	","Total	","	",.,52265,107.214,561.989
"ED Visits	",New York State,2006-2008,"Month	","11	","Total	","	",.,50801,107.685,564.456
"ED Visits	",New York State,2006-2008,"Month	","12	","Total	","	",.,49064,100.648,527.57
"ED Visits	",New York State,2006-2008,"Total	","	","Total	","	",92.535,513015,89.299,468.079
"ED Visits	",New York State,"2007	","AgeGroup	","0-4	","Total	","	",.,27321,236.132,74.852
"ED Visits	",New York State,"2007	","AgeGroup	",15-19,"Total	","	",.,11197,80.682,30.677
"ED Visits	",New York State,"2007	","AgeGroup	",20-24,"Total	","	",.,11863,88.257,32.501
"ED Visits	",New York State,"2007	","AgeGroup	",25-64,"Total	","	",.,76636,74.367,209.962
"ED Visits	",New York State,"2007	","AgeGroup	","5-14	","Total	","	",.,31313,129.354,85.789
"ED Visits	",New York State,"2007	","AgeGroup	","65+	","Total	","	",.,11002,43.701,30.142
"ED Visits	",New York State,"2007	","Month	","01	","Total	","	",.,15405,94.804,496.935
"ED Visits	",New York State,"2007	","Month	","02	","Total	","	",.,12968,88.357,463.143
"ED Visits	",New York State,"2007	","Month	","03	","Total	","	",.,14118,86.883,455.419
"ED Visits	",New York State,"2007	","Month	","04	","Total	","	",.,12796,81.373,426.533
"ED Visits	",New York State,"2007	","Month	","05	","Total	","	",.,17215,105.943,555.323
"ED Visits	",New York State,"2007	","Month	","06	","Total	","	",.,11027,70.123,367.567
"ED Visits	",New York State,"2007	","Month	","07	","Total	","	",.,8988,55.313,289.935
"ED Visits	",New York State,"2007	","Month	","08	","Total	","	",.,9994,61.504,322.387
"ED Visits	",New York State,"2007	","Month	","09	","Total	","	",.,14850,94.434,495
"ED Visits	",New York State,"2007	","Month	","10	","Total	","	",.,17665,108.712,569.839
"ED Visits	",New York State,"2007	","Month	","11	","Total	","	",.,18171,115.553,605.7
"ED Visits	",New York State,"2007	","Month	","12	","Total	","	",.,16135,99.296,520.484
"ED Visits	",New York State,"2007	","Total	","	","Total	","	",91.792,169332,88.506,463.923
"ED Visits	",New York State,2007-2009,"AgeGroup	","0-4	","Gender	","F	",.,30022,176.867,27.392
"ED Visits	",New York State,2007-2009,"AgeGroup	","0-4	","Gender	","M	",.,53162,299.307,48.505
"ED Visits	",New York State,2007-2009,"AgeGroup	","0-4	","Total	","	",.,83185,239.478,75.899
"ED Visits	",New York State,2007-2009,"AgeGroup	",15-19,"Gender	","F	",.,19169,94.539,17.49
"ED Visits	",New York State,2007-2009,"AgeGroup	",15-19,"Gender	","M	",.,14130,66.291,12.892
"ED Visits	",New York State,2007-2009,"AgeGroup	",15-19,"Total	","	",.,33299,80.062,30.382
"ED Visits	",New York State,2007-2009,"AgeGroup	",20-24,"Gender	","F	",.,22709,111.995,20.72
"ED Visits	",New York State,2007-2009,"AgeGroup	",20-24,"Gender	","M	",.,14582,70.49,13.305
"ED Visits	",New York State,2007-2009,"AgeGroup	",20-24,"Total	","	",.,37291,91.035,34.025
"ED Visits	",New York State,2007-2009,"AgeGroup	",25-64,"Gender	","F	",.,149942,93.842,136.808
